index,groundtruth,distance,distanceAdjust
1,20,57.944444,57.944444
2,20,57.555556,57.555556
3,20,64.166667,64.166667
4,20,57.166667,57.166667
5,20,55.222222,55.222222
6,20,57.944444,57.944444
7,20,57.166667,57.166667
8,20,64.166667,64.166667
9,20,57.555556,57.555556
10,20,59.888889,59.888889
11,20,55.222222,55.222222
12,20,59.888889,59.888889
13,20,57.555556,57.555556
14,20,63.777778,63.777778
15,20,55.611111,55.611111
16,20,66.500000,66.500000
17,20,55.611111,55.611111
18,20,64.166667,64.166667
19,20,57.555556,57.555556
20,20,57.555556,57.555556
21,20,64.555556,64.555556
22,20,57.555556,57.555556
23,20,64.166667,64.166667
24,20,55.611111,55.611111
25,20,63.777778,63.777778
26,20,66.111111,66.111111
27,20,57.944444,57.944444
28,20,55.222222,55.222222
29,20,57.166667,57.166667
30,20,55.222222,55.222222
