index,groundtruth,distance,distanceAdjust
1,10,15.166667,19.166667
2,10,12.444444,16.444444
3,10,14.000000,18.000000
4,10,12.444444,16.444444
5,10,14.000000,18.000000
6,10,14.000000,18.000000
7,10,14.000000,18.000000
8,10,15.166667,19.166667
9,10,13.611111,17.611111
10,10,15.166667,19.166667
11,20,23.722222,27.722222
12,20,16669.333333,16673.333333
13,20,16379.611111,16383.611111
14,20,17012.722222,17016.722222
15,20,16750.222222,16754.222222
16,20,17783.888889,17787.888889
17,20,22.555556,26.555556
18,20,17635.722222,17639.722222
19,20,16429.388889,16433.388889
20,20,23.333333,27.333333
21,40,16624.611111,16628.611111
22,40,37565.500000,37569.500000
23,40,19992.000000,19996.000000
24,40,222.055556,226.055556
25,40,16352.000000,16356.000000
26,40,36153.055556,36157.055556
27,40,37308.444444,37312.444444
28,40,41.222222,45.222222
29,40,15932.777778,15936.777778
30,40,36727.055556,36731.055556
31,40,36073.333333,36077.333333
32,80,16019.111111,16023.111111
33,80,44065.000000,44069.000000
34,80,56293.222222,56297.222222
35,80,17229.722222,17233.722222
36,80,16129.166667,16133.166667
37,80,35794.888889,35798.888889
38,80,36011.888889,36015.888889
39,80,16443.777778,16447.777778
40,80,20720.000000,20724.000000
41,80,36065.166667,36069.166667
