index,groundtruth,distance,distanceAdjust
1,10,15.555556,19.555556
2,10,12.444444,16.444444
3,10,14.000000,18.000000
4,10,13.611111,17.611111
5,10,8611.555556,8615.555556
6,10,12.444444,16.444444
7,10,12.444444,16.444444
8,10,12.444444,16.444444
9,10,15.555556,19.555556
10,10,15.166667,19.166667
11,20,23.722222,27.722222
12,20,20534.888889,20538.888889
13,20,20072.111111,20076.111111
14,20,8628.666667,8632.666667
15,20,8033.666667,8037.666667
16,20,7890.555556,7894.555556
17,20,23.333333,27.333333
18,20,29097.833333,29101.833333
19,20,26.055556,30.055556
20,20,26.444444,30.444444
21,40,7992.444444,7996.444444
22,40,48127.333333,48131.333333
23,40,20664.000000,20668.000000
24,40,42581.777778,42585.777778
25,40,42141.555556,42145.555556
26,40,7668.888889,7672.888889
27,40,20135.500000,20139.500000
28,40,19561.111111,19565.111111
29,40,40973.722222,40977.722222
30,40,7804.611111,7808.611111
31,80,37421.611111,37425.611111
32,80,21241.888889,21245.888889
33,80,68120.500000,68124.500000
34,80,20277.055556,20281.055556
35,80,47837.222222,47841.222222
36,80,8122.333333,8126.333333
37,80,8297.333333,8301.333333
38,80,7748.222222,7752.222222
39,80,402.888889,406.888889
40,80,6758.111111,6762.111111
