index,groundtruth,distance,distanceAdjust
1,10,0.000000,4.000000
2,10,0.000000,4.000000
3,10,0.000000,4.000000
4,10,0.000000,4.000000
5,10,0.000000,4.000000
6,10,0.000000,4.000000
7,10,0.000000,4.000000
8,10,0.000000,4.000000
9,10,0.000000,4.000000
10,10,0.000000,4.000000
11,20,0.000000,4.000000
12,20,0.000000,4.000000
13,20,0.000000,4.000000
14,20,0.000000,4.000000
15,20,0.000000,4.000000
16,20,0.000000,4.000000
17,20,0.000000,4.000000
18,20,0.000000,4.000000
19,20,0.000000,4.000000
20,20,0.000000,4.000000
21,40,0.000000,4.000000
22,40,0.000000,4.000000
23,40,0.000000,4.000000
24,40,0.000000,4.000000
25,40,0.000000,4.000000
26,40,0.000000,4.000000
27,40,0.000000,4.000000
28,40,0.000000,4.000000
29,40,0.000000,4.000000
30,40,0.000000,4.000000
31,80,0.000000,4.000000
32,80,0.000000,4.000000
33,80,0.000000,4.000000
34,80,0.000000,4.000000
35,80,0.000000,4.000000
36,80,0.000000,4.000000
37,80,0.000000,4.000000
38,80,0.000000,4.000000
39,80,0.000000,4.000000
40,80,0.000000,4.000000
