index,groundtruth,distance,distanceAdjust
1,20,10115.777778,10115.777778
2,20,6649.611111,6649.611111
3,20,6646.888889,6646.888889
4,20,6630.555556,6630.555556
5,20,6706.777778,6706.777778
6,20,6720.388889,6720.388889
7,20,6662.055556,6662.055556
8,20,6721.944444,6721.944444
9,20,6739.833333,6739.833333
10,20,6713.000000,6713.000000
11,20,6703.666667,6703.666667
12,20,6646.500000,6646.500000
13,20,6708.722222,6708.722222
14,20,6727.000000,6727.000000
15,20,6735.166667,6735.166667
16,20,6737.500000,6737.500000
17,20,6732.833333,6732.833333
18,20,6712.222222,6712.222222
19,20,6740.611111,6740.611111
20,20,6758.888889,6758.888889
21,20,6732.833333,6732.833333
22,20,6745.666667,6745.666667
23,20,6646.888889,6646.888889
24,20,6713.000000,6713.000000
25,20,6648.833333,6648.833333
26,20,6633.666667,6633.666667
27,20,6631.722222,6631.722222
28,20,6655.833333,6655.833333
29,20,6652.333333,6652.333333
30,20,6637.555556,6637.555556
