index,groundtruth,distance,distanceAdjust
1,10,17.111111,21.111111
2,10,17.111111,21.111111
3,10,17.111111,21.111111
4,10,15.166667,19.166667
5,10,15.944444,19.944444
6,10,15.166667,19.166667
7,10,17.111111,21.111111
8,10,16.333333,20.333333
9,10,15.944444,19.944444
10,10,15.166667,19.166667
11,10,17.111111,21.111111
12,10,16.722222,20.722222
13,10,18.666667,22.666667
14,10,15.166667,19.166667
15,10,15.944444,19.944444
16,10,16.333333,20.333333
17,10,17.111111,21.111111
18,10,16.722222,20.722222
19,10,15.555556,19.555556
20,10,16.333333,20.333333
21,10,18.666667,22.666667
22,10,18.277778,22.277778
23,10,17.500000,21.500000
24,10,16.722222,20.722222
25,10,18.277778,22.277778
26,10,16.722222,20.722222
27,10,17.500000,21.500000
28,10,479.111111,483.111111
29,10,18.666667,22.666667
30,10,15.166667,19.166667
31,20,18863.833333,18867.833333
32,20,24.888889,28.888889
33,20,26.833333,30.833333
34,20,26.055556,30.055556
35,20,25.277778,29.277778
36,20,25.277778,29.277778
37,20,26.833333,30.833333
38,20,26.055556,30.055556
39,20,25.666667,29.666667
40,20,25.666667,29.666667
41,20,23.722222,27.722222
42,20,26.444444,30.444444
43,20,25.277778,29.277778
44,20,23.333333,27.333333
45,20,25.666667,29.666667
46,20,24.888889,28.888889
47,20,23.722222,27.722222
48,20,26.444444,30.444444
49,20,25.277778,29.277778
50,20,24.500000,28.500000
51,20,23.722222,27.722222
52,20,24.500000,28.500000
53,20,25.277778,29.277778
54,20,22.944444,26.944444
55,20,855.944444,859.944444
56,20,22.944444,26.944444
57,20,26.833333,30.833333
58,20,24.500000,28.500000
59,20,25.277778,29.277778
60,20,24.500000,28.500000
61,40,44.333333,48.333333
62,40,44.333333,48.333333
63,40,45.500000,49.500000
64,40,45.111111,49.111111
65,40,17705.333333,17709.333333
66,40,43.944444,47.944444
67,40,44.333333,48.333333
68,40,45.500000,49.500000
69,40,45.888889,49.888889
70,40,43.944444,47.944444
71,40,45.888889,49.888889
72,40,43.555556,47.555556
73,40,44.722222,48.722222
74,40,44.722222,48.722222
75,40,44.333333,48.333333
76,40,43.555556,47.555556
77,40,44.333333,48.333333
78,40,42.000000,46.000000
79,40,45.888889,49.888889
80,40,44.333333,48.333333
81,40,45.500000,49.500000
82,40,43.944444,47.944444
83,40,45.500000,49.500000
84,40,2250.111111,2254.111111
85,40,44.722222,48.722222
86,40,45.500000,49.500000
87,40,44.722222,48.722222
88,40,45.111111,49.111111
89,40,44.333333,48.333333
90,40,43.166667,47.166667
91,80,83.611111,87.611111
92,80,84.777778,88.777778
93,80,85.166667,89.166667
94,80,17726.333333,17730.333333
95,80,85.166667,89.166667
96,80,84.777778,88.777778
97,80,17926.222222,17930.222222
98,80,84.777778,88.777778
99,80,18488.555556,18492.555556
100,80,83.222222,87.222222
101,80,85.555556,89.555556
102,80,84.777778,88.777778
103,80,18314.722222,18318.722222
104,80,17796.333333,17800.333333
105,80,18331.055556,18335.055556
106,80,84.000000,88.000000
107,80,18335.722222,18339.722222
108,80,84.388889,88.388889
109,80,18350.500000,18354.500000
110,80,84.000000,88.000000
111,80,84.777778,88.777778
112,80,18159.944444,18163.944444
113,80,83.611111,87.611111
114,80,83.222222,87.222222
115,80,84.000000,88.000000
116,80,18461.333333,18465.333333
117,80,83.611111,87.611111
118,80,522.666667,526.666667
119,80,84.000000,88.000000
120,80,84.777778,88.777778
