index,groundtruth,distance,distanceAdjust
1,16.000000,16.333333,18.333333
2,16.000000,15.944444,17.944444
3,16.000000,17.888889,19.888889
4,16.000000,14.777778,16.777778
5,16.000000,16.333333,18.333333
6,16.000000,14.388889,16.388889
7,16.000000,15.166667,17.166667
8,16.000000,14.388889,16.388889
9,16.000000,16.722222,18.722222
10,16.000000,15.944444,17.944444
11,16.000000,2235.722222,2237.722222
12,16.000000,14.777778,16.777778
13,16.000000,16.333333,18.333333
14,16.000000,15.944444,17.944444
15,16.000000,17.500000,19.500000
16,16.000000,14.388889,16.388889
17,16.000000,16.333333,18.333333
18,16.000000,15.944444,17.944444
19,16.000000,15.166667,17.166667
20,16.000000,15.944444,17.944444
21,16.000000,16.333333,18.333333
22,16.000000,11.666667,13.666667
23,16.000000,16.333333,18.333333
24,16.000000,15.944444,17.944444
25,16.000000,16.722222,18.722222
26,16.000000,15.944444,17.944444
27,16.000000,17.888889,19.888889
28,16.000000,15.944444,17.944444
29,16.000000,14.777778,16.777778
30,16.000000,14.388889,16.388889
31,16.000000,15.166667,17.166667
